category_id,post_name,option A,option B,option C,option D,correct option,explanation
4,नेपालको कुन जिल्लामा सबैभन्दा बढी विमानस्थल छ ? ,काठमाडौँ ,सोलुखुम्बु,धनगढी, पोखरा ,b,
32,स्वस्थ वातावरणको लागि कति प्रतिशत जंगलको आवश्यकता पर्छ ? ,३९ प्रतिशत,४० प्रतिशत,४३ प्रतिशत,४५ प्रतिशत ,c,
32,एउटा रूखले कति अक्सिजन उत्पादन गर्न सक्छ ? ,२७ के.जी ,३० के.जी,४० के.जी,४५ के.जी ,a,
32,पृथ्वीले एक सेन्टीमिटर माटो बनाउन कति समय लिन्छ ?,१००० वर्ष,५०० वर्ष ,४०० वर्ष,२०० वर्ष ,c,
29,नेपालको अन्तिम राणा प्रधानमन्त्री को हुन् ? ,धिर शमशेर,वीर शमशेर,मोहन शमशेर,पद्म शमशेर ,c,
28,दोश्रो विश्वयुद्धको समयमा नेपालको प्रधानमन्त्री को थिए ?,देव शमशेर,वीर शमशेर,धीर शमशेर,जुद्ध शमशेर ,d,
16,नेपाल समुद्रदेखि कति टाढा रहेको छ  ? ,२२२७ कि.मी,१११७ कि.मी, ११२७ कि.मी,१११५ कि.मी ,c,
16,लिखु नदीको अर्को नाम के हो ? ,अरुण,बरुण ,महाप्रभा,शीतप्रभा ,b,
29,अरनिकोको वास्तविक नाम के हो ? ,सुबाहु,बलबाहु,भिमसेन,सुमन्त्र,b,
29,कोतपर्वमा सबभन्दा पहिला मारिने व्यक्ति को थिए ? ,अभिमान सिंह बस्नेत,माथवरसिंह थापा,सुब्बा कृष्णलाल अधिकारी, विरेन्द्रसिंह बस्नेत ,a,
20,सेतो हात्तीको देश भनेर कुन देशलाई चिनिन्छ ? ,फिलिपिन्स,नेदरल्याण्ड,थाइल्याण्ड,सिंगापुर ,c,
28,अमेरिकाको ४४ औं राष्ट्रपति को हुन् ? ,जर्ज डब्ल्यू बुस ,अब्राहम लिङ्कन,बाराक ओबामा ,विल क्लिन्टन,c,
20,गौतम बुद्धको सबभन्दा ठूलो मूर्ति कुन देशमा छ ? ,बर्मा,नेपाल,श्रीलंका ,अफगानिस्तान,d,
20,विश्वमा अंग्रेजी पछाडी सबभन्दा बढी बोलिने भाषा कुन हो ?,नेपाली ,चाइनिज,हिन्दी,उर्दू ,b,
1,विश्वका कति प्रतिशत मानिस पहाडी क्षेत्रमा बसोबास गर्छन् ? ,१२ प्रतिशत,१८ प्रतिशत,२२ प्रतिशत,२३ प्रतिशत,a,
20,कुन वैज्ञानिकले आफ्नो नाम समेत बिर्सन्थे ? ,थोमस अल्वा एडिसन,सर आइज्याक न्यूटन ,आर्किमिडिज ,अल्बर्ट आइन्स्टाइन,a,
25,हाम्रो शरीरमा कति प्रकारका मांसपेशीहरू हुन्छन् ? ,५,४,३,२,c,
32,हावामा कति प्रतिशत अक्सिजन पाइन्छ ?,१७ प्रतिशत,३० प्रतिशत ,२७ प्रतिशत ,२१ प्रतिशत,d,
9,फलफूलको राजा मानिने आँपमा कुन भिटामिन पाइन्छ ? ,ए ,बी,सी,के ,a,
29,नेपालबाट चीन जाने पहिलो व्यक्ति को हुन् ?,अरनिको ,बुद्धभद्र ,श्री ५ महेन्द्र,जंगबहादुर राणा ,b,
29,पृथ्वीनारायण शाहको मावली कहाँ थियो   ?,मकवानपुर,पाल्पा ,काठमाडौँ,भक्तपुर,b,
29,नेपालमा शाशन गर्ने पहिलो वंश कुन हो ?,महिषपाल वंश,किराँत वंश,गोपाल वंश,शाह वंश,c,
29,नेपालको राजदरबार हनुमान ढोकाबाट नारायण हिटी कुन राजाको पालामा सारिएको थियो ?,प्रताप मल्ल ,पृथ्वीनारायण शाह ,प्रतापसिंह साह,पृथ्वी विरविक्रम,d,
29,गोपाल राज वंशावली कसको पालामा तयार पारिएको हो ? ,जयस्थिति मल्ल ,यक्ष मल्ल,प्रताप मल्ल ,वरसिंह,a,
29,किराँती राजा यलम्बरलाई अर्को कुन नामले चिनिन्छ ? ,गस्ती,स्थुँको,भुवनसिंह,यलुङ,d,
29,राजा विरेन्द्रले नेपाललाई शान्ति क्षेत्र घोषणा गरियोस् भनि विश्वसामु कहिले प्रस्ताव राखेका थिए ? ,२०३१ माघ १३ ,२०३१ फागुन १३ ,२०३२ फागुन १३,२०३१ भदौ १३,b,
29,कार्तिक नाचलाई एक महिनाको बनाउने राजा को हुन् ? ,योग नरेन्द्र मल्ल ,जय प्रकाश मल्ल ,प्रतापसिंह साह ,अंशुबर्मा,a,
29,कैलाशकुट भवनको महिमा कहाँको शीलालेखमा उल्लेख छ ? ,अशोक शिलालेख,स्वयम्भू शिलालेख,साँगाको शीलालेखमा ,चाँगुनारायण शिलालेख,c,
29,अरनिको चीन जाँदा कति वर्षका थिए ? ,१५,२५,२७,१७,d,
29,लिच्छवी कालमा शिक्षाको माध्यम भाषा के थियो ? ,नेपाली भाषा ,संस्कृत र पाली भाषा,भोजपुरी,मैथिली,b,
29,शिलालेखमा स्वस्ती नेपालेभ्य लेख्ने राजा को हुन् ? ,यलम्बर,बसन्तदेव,प्रताप मल्ल,श्री निवास मल्ल ,b,
29,मानाङ्क मुद्रा कुन धातुबाट बनाइएको थियो ? ,सुन,फलाम , चाँदी,तामा ,d,
29,मानदेवले प्रचलनमा ल्याएको मुद्रालाई के भनिन्छ । ,जावा ,पण ,मानाङ्क ,मोहर,c,
20,१पुराणमा कति पण हुन्थ्यो ? ,१०,१८,१६ पण ,१२,c,
29,गुणकामदेवले कान्तिपुर शहरको स्थापना गर्दा कति घरहरू बनाएका थिए ? ,१० हजार,१८ सय,१२ हजार ,१८ हजार ,d,
29,पान्चाली प्रथाको शुरुवात गर्ने राजा को हुन् ? ,अंशुवर्मा ,अरिदेव,प्रताप मल्ल,जगज्योति मल्ल ,a,
28,विश्वको सबैभन्दा सानो मुद्रा जावा निस्कासन गर्ने राजा को हुन् ? ,गुणकामदेव ,जयप्रकाश मल्ल ,जयदेव,रणबहादुर शाह ,b,
33,मानव न्यायशास्त्र कसको कृति हो ? ,योग नरेन्द्र मल्ल ,महिन्द्र मल्ल,जयस्थिति मल्ल ,प्रताप मल्ल ,c,
29,कवि चुणामणि सम्राट भनेर कुन राजालाई चिनिन्छ ? ,जयस्थिति मल्ल ,भूपतिन्द्र मल्ल ,रणजित मल्ल, सिद्धिनरसिंह मल्ल,b,
29,जनताको राय विना कुनै पनि काम नगर्ने राजा को हुन् ? ,रणबहादुर शाह,भूपतिन्द्र मल्ल , रणजित ,जयस्थिति मल्ल ,c,
29,राजा अंशुवर्माकी बहिनीको नाम के थियो ? ,भृकुटी ,भोगदेवी ,तारादेवी,सुनन्दा,b,
33,अंशुवर्माले चन्द्र व्याकरण कसलाई लेख्न लगाएका थिए ? ,चन्द्र बर्मा गोमी ,लक्ष्मी प्रसाद देवकोटा , प्रेम निधि पन्त , मोतीराम भट्ट,a,
29,बहुलाकाजी भनेर चिनिने राजा को हुन् ? ,जयस्थिति मल्ल ,लक्ष्मी नरसिंह मल्ल,रणबहादुर शाह ,प्रताप मल्ल,b,
10,जयतु संस्कृतम आन्दोलन कसको पालामा भएको थियो ? ,धीर शमशेर ,जुद्धशमशेर,पद्मशमशेर,वीर शमशेर ,c,
4,गोरखापत्रको प्रकाशन कहिले र भएको थियो ? ,वि.सं १९५८ बैशाख २४ ,वि.सं १९५८ असार२४ ,वि.सं १९५२ बैशाख २४ ,वि.सं १९५५ बैशाख २४ ,a,
29,नेपालको इतिहासमा सबैभन्दा छोटो कार्यकाल भएका राणा प्रधानमन्त्री को थिए ? ,जंगबहादुर राणा,मोहनशमशेर,धीर शमशेर ,देव शमशेर,d,
29,भाषा पाठशालाको स्थापना गर्ने राणा प्रधानमन्त्री को थिए ?,देवशमशेर ,मोहनशमशेर ,जंग बहादुर राणा ,पद्मशमशेर ,a,
4,चिठीमा टिकट टाँस्ने चलन कसले चलाएका हुन् ?,श्री ५ त्रिभुवन,जुद्ध शमशेर,लक्ष्मी प्रसाद देवकोटा,धीर शमशेर,b,
29,फिस्टे महाराज भन्नाले कसलाई चिनिन्छ ?,मोहनशमशेर ,श्री ५ सुरेन्द्र,अंशुबर्मा,चन्द्र शमशेर ,d,
